Measure,Reporting_Period_Start_Date,Reporting_Period_End_Date,Sex,Age_Band,Numerator,Denominator,Percentage
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,0 to 9,1715,4485,38.23857302
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,35 to 44,3285,6925,47.4368231
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,35 to 44,4995,11050,45.20361991
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,18 to 24,6755,12370,54.60792239
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,25 to 34,6940,14805,46.87605539
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,female,10 to 17,8330,14940,55.75635877
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,0 to 9,6650,15180,43.80764163
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,18 to 24,20605,29975,68.74061718
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,25 to 34,20125,36725,54.79918312
ADHD_medication_with_ADHD_diagnosis,01/04/2022,31/03/2023,male,10 to 17,30270,46730,64.77637492
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,75 and over,15,120,12.5
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,75 and over,30,130,23.07692308
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,65 to 74,115,310,37.09677419
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,65 to 74,135,365,36.98630137
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,55 to 64,835,1775,47.04225352
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,male,55 to 64,900,1895,47.49340369
ADHD_medication_with_ADHD_diagnosis,01/04/2023,31/03/2024,female,45 to 54,2555,4990,51.20240481
